ABC‐boek | ABC-book
in hoeverre | towhatextent
in hoge mate | extremely
in horizontale richting | across
in ieder geval | inanyevent
in kennis stellen | acquaint
in kokend water doen | scald
in kwestie | concerned
in leven houden | support
in lichterlaaie | ablaze
in lucht levend | aerobic
in morsetekens seinen | sendinMorsecode
in naam | namely
in omloop | about
in omloop zĳn | beabout
in omloop zĳnd | about
in onbruik raken | fallintoabeyance
in opstand komen | rebel
in optima forma | perfect
in orde | agreed
in overeenstemming met | inaccordancewith
in overeenstemming zĳn | conform
in overvloed | abundantly
in overvloed aanwezig zĳn | abound
in pacht hebben | farm
in plaats daarvan | instead
in plaats van | insteadof
in principe | inprinciple
in rekening brengen | charge
in ruil voor | becauseof
in ruste | retired
in rĳen | inrows
in schĳn | apparently
in slaap doen vallen | puttosleep
in spe | future
in staat zĳn | beable
in stede van | insteadof
in strĳd met | aliento
in tegenspraak zĳn met | contradict
in theorie | intheabstract
in toenemende mate | increasingly
in toepassing brengen | apply
in toom houden | bridle
in toorn ontsteken | getangry
in totaal | altogether
in trek zĳn | beahit
in tweedehands goederen handelen | dealinsecondhandgoods
in verband met | toward
in verlegenheid | indistress
in verlegenheid brengen | abash
in verrukking brengen | delight
in verval raken | beonthedecline
in vervulling gaan | cometrue
in verwachting | pregnant
in verwachting raken | conceive
in verzekerde bewaring nemen | arrest
in verzoeking brengen | entice
in vlammen uitbarsten | burstintoflames
in voorraad | stocked
in weerwil van | despite
in zich opnemen | assimilate
in zwang | fashionable
in zwĳm vallen | faint
in zĳn eentje | oneatatime
in zĳn werk gaan | function
in één ruk | atastrech
iridium | iridium
iris | iris
ironie | irony
ironisch | ironic
irritant | irritating
irriteren | abet
is‐gelĳkteken | equalsign
islam | Islam
islamiet | Mohammedan
islamitisch | Islamic
isolatie | insulation
isolator | insulator
isolement | isolation
isoleren | insulate
isolering | insulation
is het niet | isn'tit
is het niet? | isn'tit?
ivoor | ivory
ivoorkleurig | ivory
ivoren | ivory
ja | yes
jaap | cut
jaar | year
jaarbeurs | fair
jaarboek | year‐book
jaarboeken | annals
jaargetĳ | season
jaargetĳde | season
jaarlĳks | annual
jacht | yacht
jachten | hurry
jacht maken op | chase
jade | jade
jaden | jade
jagen | chase
jager | hunter
jaguar | jaguaro
jakhals | jackal
jaloers zĳn | bejealous
jaloers zĳn op | envy
jam | jam
jammer | alas
jammerlĳk | miserable
jammer genoeg | alas
janboel | confusion
janmaat | sailor
januari | January
japon | dress
jargon | jargon
jarig zĳn | celebratingone'sbirthday
jas | cloak
jasje | jacket
jassen | shell
jawel | yes
ja knikken | nod
ja zeggen | affirm
je | thee
jegens | at
jehova | Jehovah'sWitness
jehovagetuige | Jehovah'sWitness
jenever | gin
jet | jetplane
jeugd | youth
jeugdherberg | youthhostel
jeugdig | young
jeugdigheid | youth
jeuk | itch
jeuken | itch
jochie | brat
jodelen | yodel
jodendom | Judaism
jodenhaat | anti‐Semitism
jodenhater | anti‐Semite
jodenkerk | synagogue
jodium | iodine
joelen | cryout
joggen | jog
joghurt | yoghourt
jok | gag
joker | wildcard
jokerteken | wildcard
jolig | cheerful
jong | child
jongedame | youngwoman
jongeheer | youngster
jongeling | youngster
jongen | boy
jongens‐ | boyish
jongensachtig | boyish
jonggezel | bachelor
jongleren | juggle
jongleur | juggler
jongstgeleden | last
jonkvrouw | dame
jood | Hebrew
joods | Hebrew
jota | iota
jou | thee
journaal | diary
journalist | journalist
journaliste | journalist
jouw | your
jubel‐ | jubilant
jubelen | exult
jubileum‐ | jubilee
jubileum | jubilee
juffertje | dragonfly
juffrouw | unmarriedwoman
juist | correct
juister | rather
juk | yoke
juli | July
jullie | toyou
jumper | pulloversweater
jungle | jungle
juni | June
jurist | jurist
jurk | dress
jury | jury
jus | gravy
jute | jute
juweel | gem
juwelier | jeweller
jĳ | thou
jĳzelf | yourself
jĳ en jou zeggen | theeandthou
kaai | platform
kaak | jaw
kaalheid | baldness
kaalhoofdig | bald
kaalhoofdigheid | baldness
kaap | cape
kaarden | card
kaars | candle
kaarsensterkte | candle
kaarsvet | suet
kaart | card
kaartenboek | atlas
kaartje | bill
kaartjesloket | booking‐office
kaartsysteem | file
kaas | cheese
kaasjeskruid | mallow
kabbelen | burble
kabel | cable
kabeljauw | cod
kabeltelegram | cablegram
kabinet | cabinet
kabouter | goblin
kachel | furnace
kachelpĳp | chimney
kadaver | cadaver
kade | platform
kader | cadre
kadet | roll
kadetje | roll
kaduuk | broken
kaft | cover
kaftan | caftan
kaftpapier | wrapping‐paper
kajuit | cabin
kakement | jaw
kakken | defecate
kakkerlak | cockroach
kalebas | calabash
kalefateren | calk
kalen | bebalding
kalender | calendar
kales | carriage
kalfateren | calk
kalfsvlees | veal
kaliber | calibre
kalium | potassium
kalkoen | turkey
kalm | calm
kalmeren | appease
kalmoes | calamus
kalmte | calmness
kameel | camel
kameleon | chameleon
kamenier | maid
kamer | dark‐room
kameraad | buddy
kamerjapon | dressing‐gown
kamerjas | dressing‐gown
kamerlid | memberofparliament
kamermeisje | maid
kamers | quarters
kamertje | dark‐room
kamfer | camphor
kamgaren | worsted
kammen | comb
kamp | action
kampeertent | tent
kampeerterrein | campingground
kampement | campoftents
kampen | fight
kamperen | camp
kamperfoelie | honeysuckle
kampioen | champion
kampplaats | arena
kamrad | cogwheel
kamwiel | cogwheel
kan | jug
kanaal | canal
kanarie | canary
kandelaar | candlestick
kandidaat | candidate
kandidatenlĳst | nomination
kaneel | cinnamon
kangoeroe | kangaroo
kanker | cancer
kankeren | growl
kannibaal | cannibal
kanon | cannon
kansel | pulpit
kanselrede | sermon
kanselredenaar | preacher
kans lopen | hazard
kant | bank
kantelen | overthrow
kantig | angular
kantoorboekhandel | stationer'sshop
kanttekening | gloss
kap | cowl
kapitalist | capitalist
kapitein | captain
kapittel | chapter
kapjesteken | circumflex
kapot | broken
kapotjas | bonnet
kapotje | condom
kapot gaan | breakdown
kappa | kappa
kappen | drop
kapseizen | turnover
kapseltje | capsule
kapster | hairdresser
kar | cart
karaf | carafe
karakter | character
karakteriseren | characterize
karakterschets | profile
karaktertrek | feature
karavaan | caravan
karbonade | cutlet
karbouw | buffalo
kardoes | cartridge
karig | inshortsupply
karkas | skeleton
karma | karma
karmeliet | Carmelite
karmelietes | Carmelite
karmozĳn | crimson
karnen | churn
karper | carp
karpet | carpet
karren | go
karrespoor | trail
karretje | cart
kartel | notch
karton | cardboard
kartonnen | cardboard
karwei | job
kas | cashier'sstand
kashouder | cashier
kasloper | bankmessenger
kassier | cashier
kast | cabinet
kastanje | chestnut
kastanjeboom | chestnut‐tree
kasteel | castle
kastekort | deficit
kastĳden | castigate
kastĳding | castigation
kat | cat
kater | malecat
katern | exercise‐book
katheder | pulpit
kathedraal | cathedral
katholicisme | Catholisism
katje | kitten
katoen | cotton
katoenen weefsel | cotton
katrol | pulley
katrolschĳf | pulley
kattekop | cat
katterig | aggressive
kattestaart | amaranthus
kauwen | chew
kauwgom | chewing‐gum
kavalje | den
kavel | lot
kavelen | parcelout
kaviaar | caviar
kazemat | bunker
kazerne | barracks
kea | kea
keel | throat
keelgat | throat
keelontsteking | angina
keelpĳn | paininthethroat
keep | notch
keer | occasion
keerkring | tropics
keer op keer | repeatedly
keet | barrack
keg | wedge
kei‐ | metalled
kei | boulder
keil | wedge
keilen | throw
keislag‐ | metalled
keisteen | flint
keizer | emperor
keizerin | empress
keizerrĳk | empire
kelder | basement
kelen | cutthethroatof
kelk | chalice
kelner | waiter
kelnerin | waitress
kemel | camel
kemphaan | fightingcock
kenbaar maken | letknow
kenmerkend | characteristic
kenmerkende eigenschap | attribute
kennel | kennel
kennelĳk | evident
kennen | beacquaintedwith
kenner | expert
kennisgeving | advice
kennismaking | acquaintance
kennis maken met | make...acquaintance
kenschets | characterization
kenteken | characteristic
kentekenplaat | numberplate
kenteren | change
kentering | alteration
keper | twill
kerel | chap
kerf | notch
kerkbuurt | parish
kerkdienst | service
kerkelĳk | ecclesiastic
kerkgebouw | church
kerkgebruik | rite
kerkgezang | anthem
kerkhof | cemetery
kerkregel | canon
kerkscheuring | schism
kerkuil | screech‐owl
kerkvader | church‐father
kermis | fair
kern‐ | nuclear
kern | essence
kernachtig | concise
kernspreuk | aphorism
kerrie | curry
kers | cherry
kerseboom | cherry‐tree
kerstboom | Christmastree
kerstroos | Christmasrose
keteldal | boiler
ketellapper | tinker
keten | fetter
ketenen | fetter
ketter | heretic
ketteren | blaspheme
ketters | heretical
ketterĳ | heresy
ketting | chain
kettingzang | cannon
keu | sow
keuken | kitchen
keukenmeid | cook
keur | choice
keus | alternative
keutel | dung
keuvelen | chat
keuze | alternative
kever | beetle
kibboets | kibbutz
kiek | photograph
kieken | photograph
kiekendief | harrier
kiekje | photograph
kiektoestel | camera
kiem | germ
kiemen | germinate
kiemvlies | cover
kiemwit | albumen
kier | crack
kies | dainty
kiesheid | tenderness
kieskeurig | dainty
kiespĳn | toothache
kiet | even
kietelen | tickle
kieuw | gill
kievietsbloem | fritillary
kievitsbloem | fritillary
kiezelsteen | flint
kiezen | choose
kiften | quarrel
kikker | frog
kikkerbeet | frogbit
kikkerbilletjes | frog'slegs
kikkerdril | spawn
kikkervisje | tadpole
kikvors | frog
kil | bleak
killer | murderer
kilo | kilo
kilobyte | kilobyte
kilogram | kilo
kilometer | kilometre
kilt | kilt
kim | horizon
kimono | kimono
kin | chin
kina | cinema
kind | child
kinderachtig | childish
kinderbed | child'sbed
kinderjuffrouw | nurse
kinderloos | childless
kinderlĳk | childish
kindermeisje | nurse
kinderprostitutie | childprostitution
kinine | quinine
kinkhoorn | shell
kippenhok | coop
kippenren | coop
kippevlees | chicken
kippeëi | hen'segg
kippig | near‐sighted
kist | box
klaaglied | elegy
klaagzang | elegy
klaar | completed
klaarblĳkelĳk | evident
klaarkomen | getready
klaarkomen met | finish
klaarmaken | finish
klacht | complaint
klad | blot
klagen | complain
klager | accuser
klak | blot
klakken | clap
klam | moist
klamboe | mosquitonet
klamp | clamp
klandizie | clientèle
klank | sound
klankkast | resonance‐box
klankrĳk | sonorous
klant | buyer
klapbes | gooseberry
klaploper | cadger
klappen | beat
klapper | coconut
klapperboom | coconutpalm
klapperen | lap
klappernoot | coconut
klaproos | poppy
klare | gin
klaren | accomplish
klaroen | clarion
klas | class
klasse | class
klassiek | classic
klassikaal | classic
klateren | burble
klauteren | climb
klauw | claw
klauwen | scratch
klaver | clover
klaveren | clubs
kleden | clothe
klederdracht | costume
kledingstuk | articleofdress
kleedkamer | cloakroom
kleefmiddel | glue
kleefstof | glue
kleerkast | clothes‐press
kleermaakster | tailor
kleermaker | tailor
klei‐ | earthen
klei | clay
kleinburgerlĳk | lowermiddleclass
kleindochter | granddaughter
kleiner‐danteken | lesser‐thansign
kleiner worden | decrease
kleine letter | lowercaseletter
kleingeestig | petty
kleingeestigheid | pettiness
kleingeld | change
kleinhandelaar | retailer
kleinigheid | trifle
kleinkind | grandchild
kleinmaken | abase
kleinood | jewel
kleinste | least
kleinzoon | grandson
klein hoefblad | coltsfoot
klem | accent
klemmen | pinch
klemtoon | accent
klemtoonteken | stress‐mark
klepperman | watchman
klerehond | monster
kleren | clothes
kleren maken | tailor
kleren wassen | washclothes
klerk | clerk
kletsen | gossip
kletskous | chatterbox
kletspraat | gossip
kleurenblind | colour‐blind
kleurkrĳt | pastel
kleurloos | achromatic
kleuterschool | nurseryschool
kleven | stick
klevend | adhesive
kleverig | sticky
kleverige dodonea | aalii
kliek | clique
klieven | split
klikken | accuse
klikspaan | accuser
klimaat | climate
klimaats‐ | climatic
klimaatzone | zone
klimkers | nasturtium
klimop | ivy
kling | blade
klingelen | jingle
kliniek | clinic
klink | handle
klinkbout | rivet
klinknagel | rivet
klipgeit | chamois
klis | burr
klit | burr
kloek | brave
klok | clock
klokgelui | tolling
klokje | bellflower
klokkenmaker | watchmaker
klokkenspel | carillon
klokkenspeler | carillonneur
klomp | chunk
klont | chunk
klontje | cube
kloof | crack
klooster | monastery
kloosterbroeder | monk
kloosterorde | order
kloosterzuster | nun
kloot | ball
klootzak | arsehole
klop | knock
kloppartĳ | scuffle
klos | bobbin
klotsen | lap
kloven | split
kluister | fetter
kluit | chunk
kluizenaar | hermit
klus | job
knaagdier | rodent
knaap | boy
knabbelen | gnawoff
knal | crack
knallen | crack
knap | beautiful
knapperen | crackle
knapperig | brittle
knapzak | backpack
knarsen | creak
knauw | bite
knauwen | bite
knecht | boy
knechten | subdue
kneden | knead
kneep | subterfuge
kneepje | bit
knel | pressure
knellen | press
knelpunt | abashment
knersen | creak
knetteren | crackle
kneuzen | bruise
knevel | moustache
knevelarĳ | exaction
knevelen | extort
knie | knee
kniebroek | shortpants
knielen | kneel
kniesoor | grouser
knikken | nod
knip | bolt
knipbeurt | hair‐do
knipogen | blink
knippatroon | pattern
knippen | cut
knipperen | blink
kniptang | wire‐shears
knoeien | defraud
knoest | knot
knoflook | garlic
knoflookteentje | garlicbulb
knok | bone
knokig | bony
knokken | fight
knokpartĳ | scuffle
knol | turnip
knolraap | turnip
knolselderĳ | turnip‐rootedcelery
knooppunt | knot
knopen | knot
knorren | snore
knotten | top
knuffelen | cuddle
knuist | fist
knul | chap
knullig | awkward
knus | close
knutseaar | amateur
knĳpen | pinch
knĳper | pincers
knĳptang | pincers
kobalt | cobalt
kobold | goblin
koddig | comic
koe | cow
koeioneren | abuse
koek | cake
koekbakker | confectioner
koekbakkerĳ | confectionery
koekepan | frying‐pan
koekje | cupcake
koekjestrommel | biscuittin
koekoek | cuckoo
koelcel | refrigerator
koelen | refrigerate
koele seizoen | coolseason
koelkast | refrigerator
koen | brave
koepel | cupola
koeren | billandcoo
koerier | courier
koersen | beardown
koestal | byre
koesteren | coddle
koets | carriage
koevoet | crowbar
kofferbak | trunk
koffie | coffee
koffiebus | coffee‐pot
koffiehuis | café
koffiekan | coffee‐pot
koffiepot | coffee‐pot
koffiestruik | coffee‐pot
kogel | ball
kogelbaan | trajectory
kogelbloem | globe‐flower
kok | cook
koker | jug
koket | coquettish
koketteren | flirt
kokkin | cook
kokosnoot | coconut
kokospalm | coconutpalm
kokospulp | coconutpulp
kol | witch
kolbak | bearskin
kolenbak | coal‐scuttle
kolenkit | coal‐scuttle
kolerehond | monster
kolf | ear
kolibrie | hummingbird
kolk | abyss
kolken | swirl
kolom | column
kolonel | colonel
koloniaal | colonial
kolonie | colony
koloniseren | colonize
kolos | colossus
kolossaal | colossal
kom | basin
komaan | now
komaf | lineage
komediant | actor
komedie | comedy
komeet | comet
komen | come
komend | close
komen achter | invent
komen halen | meet
komisch | comic
komkommer | cucumber
komma | comma
kommer | care
kompas | compass
kompasnaald | needle
komplot | conspiracy
komst | arrival
konfiskeren | confiscate
konfĳten | preserve
kongsi | clique
koning | king
koningin | queen
koningschap | kingship
koningsdochter | princess
koningskaars | mullein
koninklĳk | regal
koninkrĳk | kingdom
konkelarĳ | plot
konkelen | intrigue
kont | backside
kontant geld | cashmoney
kontneuken | analsex
konvoceren | convoke
konĳn | rabbit
kooi | cage
kookgelegenheid | kitchen
kookketel | boiler
kookpan | cookingpot
kookpot | cookingpot
koolstof | carbon
koolstronk | stalkofcabbage
koolzaad | turnip
koon | cheek
koop | buy
koopmanschap | business
koopsom | purchasemoney
koopwaar | merchandise
koord | cord
koorde | cord
koornis | apsis
koorts | ague
koortsachtig | feverish
koortsig | feverish
koorts hebben | haveafever
kopen | buy
koper | buyer
kopie | copy
kopiëren | copy
koploos | acephalous
koplozen | acephalans
koppel | pair
koppelaar | match‐maker
koppelaarster | match‐maker
koppeling | clutch
koppelteken | break
koppig | obstinate
koppig volhouden | beobstinate
kopschuw | afraid
kopĳ | manuscript
kopĳrecht | copyright
koraaleiland | atoll
kordon | cordon
koren | grain
korenbloem | cornflower
korfbal | basketball
koriander | coriander
kornet | bonnet
kornoelje | cornel
kornuit | buddy
korporaal | corporal
korps | corps
korrel | grain
kortaangebonden | abrupt
kortademig | asthmatic
kortademigheid | dyspnea
kortaf | abruptly
korte broek | shortpants
korte tĳd | awhile
korting | abatement
korting geven | discount
kortsluiting | shortcircuit
kortstondig | brief
kortzichtig | near‐sighted
kort geleden | recently
kosmos | cosmos
kost | food
kostbaar | costly
kostbaarheid | love
kosteloos | free
kosthuis | boardinghouse
kostprĳs | cost
kostschool | institute
kostuum | costume
kostwinner | breadwinner
kot | den
kotelet | cutlet
kotsen | throwup
kou | cold
koud | cold
koude | cold
kous | stocking
kousje | fuse
kout | chat
kozĳn | frame
kraag | collar
kraai | crow
kraam | barn
kraambed | childbed
kraamkamer | lying‐inroom
kraamvrouw | lying‐inwoman
kraanvogel | crane
krab | crab
krabbel | design
krabben | scratch
krach | bankruptcy
kracht | force
krachtsinspanning | exertion
krachtsport | athletics
kracht bĳzetten | fortify
krak | crack
krakelen | argue
kraken | creak
kraker | squatter
kranig | brave
krankzinnig | crazy
krankzinnige | lunatic
krankzinnigheid | craziness
krankzinnig zĳn | actcrazy
krans | crown
krant | gazette
kras | adroit
krassen | caw
krauwen | scratch
krediet | credit
kredietkaart | creditcard
kredietwaardigheid | ability
kregel | cross
krekel | cricket
kreng | cadaver
krenken | abuse
krenkend | abusive
krenking | abuse
kreukelen | crease
kreupel | lame
kreupel lopen | limp
krib | manger
kriek | cricket
krielen | abound
krieuwelen | itch
krik | jack
kringloop | cycle
krioelen | abound
kristal | crystal
kristalhelder | crystal
kristallen | crystal
kritiseren | censure
krocht | cave
kroeg | bar
krokodil | crocodile
krokodillen | crocodile
krombuigen | bend
kromme | bend
krommen | bend
kromtrekken | bend
kronen | crown
kroniek | chronicle
kroniekschrĳver | chronicler
kroning | coronation
kroonblad | petal
kroonluchter | chandelier
kroost | offspring
kroot | beet
krop | head
kropsla | lettuce
krot | den
kruiden | flavor
kruidenier | grocer
kruiderĳ | spice
kruien | accumulate
kruier | porter
kruimel | crumb
kruin | summit
kruipen | crawl
kruis | grid
kruisband | wrapper
kruisbeeld | crucifix
kruisbes | gooseberry
kruisdistel | eryngo
kruisigen | crucify
kruiskruid | ragwort
kruispunt | crossroads
kruiswoordraadsel | crosswordpuzzle
kruit | gunpowder
kruiwagen | wheelbarrow
kruizemunt | mint
krul | curl
krullen | curl
krypton | krypton
krĳg | war
krĳger | warrior
krĳgshaftig | martial
krĳgskunde | strategy
krĳgskundig | strategic
krĳgsman | warrior
krĳs | scream
krĳsend | shrill
krĳten | cry
kubiek | cubic
kubieke meter | cubicmetre
kubus | cube
kubusvormig | Cuban
kudde | bevy
kudde geiten | flockofgoats
kuifje | tuft
kuifleeuwerik | tuftedlark
kuiken | chick
kuil | hole
kuilen | bury
kuip | tub
kuis | chaste
kuisen | bowdlerize
kuisheid | chastebehaviour
kunde | acquaintance
kundig | able
kundigheid | ability
kunne | sex
kunnen | beableto
kunnen doen | beabletocopewith
kunst | art
kunstenaar | artist
kunstenmaker | acrobat
kunstgalerie | artgallery
kunstgreep | subterfuge
kunstig | artificial
kunstmaan | earthsatellite
kunstmatig | artificial
kunstrichting | school
kunstschilder | painter
kunststuk | workofart
kunstvoorwerp | workofart
kuras | armour
kurk | cork
kurketrekker | corkscrew
kus | kiss
kust‐ | coast
kust | coast
kustlĳn | coast
kustmeer | lagoon
kut | cunt
kuur | caprice
kuuroord | healthresort
kwaad | angry
kwaadaardig | malicious
kwaad zĳn | beangry
kwaad zĳn op | beangry
kwaal | ailment
kwadraat | square
kwajongen | brat
kwaken | croak
kwaker | Quaker
kwakzalver | charlatan
kwal | jelly‐fish
kwalificatie | ability
kwalificeren | qualify
kwaliteit | property
kwalĳk | barely
kwart | fourth
kwartel | quail
kwartier | phase
kwarts | rock‐crystal
kwast | attitudinizer
kweek | couch‐grass
kweekgras | couch‐grass
kweepeer | quince
kweeperenjam | quincejam
kweken | breed
kwekerĳ | plantation
kwel | fountain
kwelling | torment
kwetteren | chirp
kwiek | adroit
kwik | mercury
kwikzilver | mercury
kwispedoor | cuspidor
kwistig | generous
kwiteren | receipt
kwĳl | saliva
kwĳnen | fade
kwĳt | lost
kwĳting | acquittal
kwĳtraken | lose
kwĳtschelding | acquittal
kwĳtschelding van straf | actofgrace
kĳk | behold
kĳken | look
kĳken naar | look
kĳkspel | show
kĳven | quarrel
la | drawer
laaggezonken | degenerate
laaghartig | abject
laaghartigheid | abjection
laaien | flame
laakbaar | blameworthy
laan | avenue
laars | boot
laat | late
laatdunkend | arrogant
laatst | last
laatstleden | last
laat in de middag | lateintheafternoon
laat in de nacht | lateatnight
laat in de ochtend | lateinthemorning
labda | lambda
laboratorium | laboratory
lach | laugh
lachbui | laughter
lachen | laugh
lachwekkend | ridiculous
ladder | ladder
lade | drawer
laden | charge
ladenkast | chest
laf | afraid
lafaard | coward
lafhartig | afraid
lafhartigheid | cowardice
lafheid | cowardice
lager | bearing
lagere school | grammarschool
lagune | lagoon
lak | lacquer
lakei | lackey
laken | cloth
lakken | lacquer
lam | lamb
lamleggen | paralyse
lampekap | lamp‐shade
lampepit | fuse
lampje | bulb
lampolie | kerosene
lams‐ | lamb
lamsvlees | lamb
lanceren | launch
landarbeider | agriculturallabourer
landbouw | agriculture
landbouwer | agrarian
landbouwkunde | agriculture
landbouwkundig | agricultural
landbouwkundige | agriculturist
landbouwonderwĳs | agriculturalinstruction
landbouwprodukt | agriculturalproduct
landbouwschool | agriculturalschool
landbouwtentoonstelling | agriculturalexhibition
landelĳk | rural
landen | land
landgenoot | compatriot
landgoed | estate
landhuis | villa
landing | landing
landingsplaats | landing‐stage
landingsstrook | airstrip
landkaart | map
landman | countryman
landrechter | sheriff
landschap | landscape
landschildpad | landtortoise
landsgrens | border
landsman | compatriot
landstreek | region
langdurig | atgreatlength
langdurigheid | length
langer | else
lange broek | pants
lange tĳd | long
langoest | lobster
langs | accordingas
langsgaan | pass
langspeelplaat | LP
langzamerhand | gradually
lans | lance
lantaarn | lantern
lanthaan | lanthanum
lappen | mend
lapwerk | patch
lariks | larch
larve | grub
lassen | weld
lasso | lasso
lastbrief | mandate
laster | backbiting
lasthebber | commissioner
lastig | difficult
lat | lath
laten | cause
laten afvloeien | divert
laten balanceren | rock
laten begaan | allow
laten binnenkomen | admit
laten blĳken | demonstrate
laten branden | keep...burning
laten doen | cause
laten grazen | feed
laten komen | get
laten merken | betray
laten mislukken | abort
laten ontploffen | blowup
laten rusten | leaveinabeyance
laten rĳmen | rhyme
laten schieten | allow
laten springen | blowup
laten staan | keepone'shandsoff
laten trekken | infuse
laten uitstappen | deprive
laten varen | abandon
laten verdwĳnen | liquidate
laten zakken | lower
laten zien | indicate
later komen | arriveafterwards
latex | latex
lathyrus | vetchling
latoen | brass
latrine | latrine
latuw | lettuce
laurier | laurel
lauw | immaterial
lauwer | laurel
lava‐ | lava
lava | lava
laven | refresh
lavendel | lavender
lawaai | ado
lawaaierig | noisy
lawine | avalanche
lawrencium | lawrencium
laxans | laxative
laxeermiddel | laxative
lazuren | skyblue
lazuur | skyblue
lebmaag | rennet‐stomach
lector | lector
lectuur | readingmatter
leden | adherents
leder | leather
lederen | leather
lederwaren | leathergoods
lederwerk | leathergoods
ledig | empty
ledigen | empty
ledikant | bedstead
leed | annoyance
leedwezen | regret
leeftĳd | age
leeftĳdsgrens | agelimit
leeftĳdsgroep | age‐bracket
leeg | empty
leeggieten | pourout
leegheid | emptiness
leegte | emptiness
leek | layman
leen | fief
leengoed | fief
leenman | vassal
leer | leather
leerachtig | leather
leerboek | textbook
leergang | class
leerlooien | tan
leerschool | school
leerstelling | dogma
leerstoel | pulpit
leerstuk | dogma
leesbaar | legible
leest | waist
leestekens plaatsen | punctuate
leeuw | lion
leeuwerik | lark
leeuwetand | dandelion
lef | audacity
legaal | legal
legataris | heir
legatie | legation
legen | empty
legendarisch | legendary
legende | legend
leger | army
legerafdeling | division
legeren | camp
legering | alloy
legerkorps | corps
legermacht | army
legerstede | bed
leges | administrativeexpenses
legioen | legion
legitimatie | I.D.
legitimatiebewĳs | I.D.
legitimeren | legitimize
leguaan | iguana
lei | slate
leiden | conduct
leidend | leading
leider | leader
leidraad | guidebook
leidsman | leader
leke‐ | lay
lekker | nice
lekkernĳ | delicacy
lel | slap
lelie | lily
lelietje‐van‐dalen | lily‐of‐the‐valley
lelĳk | rotten
lemmer | blade
lemmet | blade
lemming | lemming
lende | loin
lenen | advance
lenen aan | lend
lenen tegen een onderpand | borrowmoneyon
lenen van | borrowfrom
lening | loan
lente | spring
lenteklokje | springsnowflake
lentemaand | March
lenzen | empty
lepel | spoon
lepra | leprosy
lepralĳder | leper
leproos | leper
leraar | instructor
lerares | teacher
les | lesson
lessenaar | desk
lethargie | lethargy
letsel | harm
letsel toebrengen | harm
letten op | advert
letter | letter
letterdicht | achrostic
lettergreep | syllable
letterkeer | anagram
letterkundig | literary
letterwoord | acronym
leugen | lie
leuk | amusing
leunen | lean
leuning | prop
leuningstoel | armchair
leunstoel | armchair
leuren | peddle
leus | motto
leuter | cock
leuze | motto
leven | ado
levend | alive
levende have | livestock
levendig | adroit
levensbeschrĳver | biographer
levenskrachtig | fulloflife
levenslot | destiny
levensslagader | aorta
leven in het hiernamaals | afterlife
lever | liver
leverbloempje | hepatica
leveren | deliver
levering | delivery
levertraan | codfish‐oil
leverworst | liversausage
lezen | read
lezenaar | desk
lezenswaardig | worthreading
lezer | reader
lezing | lecture
liberaal | liberal
libretto | booklet
licentiaat | master
licentie | licence
lichaam | body
lichaamsbeharing | bodyhair
lichaamsbouw | stature
lichaamsgeur | bodysmell
lichaamsslagader | aorta
lichaamstaal | bodylanguage
licht | easy
lichtbak | headlight
lichtekooi | slut
lichtelĳk | alittle
lichtend | bright
lichtgelovig | credulous
lichtjes | lightly
lichtknop | light‐switch
lichtmeter | exposuremeter
lichtschakelaar | light‐switch
lichttoren | lighthouse
licht geven | shine
lid | acolyte
lidmaat | acolyte
lidmaatschap | membership
lidwoord | article
lief | affable
liefdadigheids‐ | charitable
liefde | affection
liefdemaal | agape
liefelĳk | gentle
liefelĳkheid | sweetness
liefhebben | love
liefhebbend | affectionate
liefhebber | amateur
liefhebberĳ | hobby
liefheid | kindness
liefje | beloved
liefst | preferably
liefste | beloved
lieftallig | lovable
lieftalligheid | sweetness
liegen | lie
lier | lyre
lies | groin
lieveheersbeestje | ladybug
lieverd | darling
lift | elevator
liga | connection
liggen | lie
liggen bovenop | beontopof
ligging | site
ligplaats | anchorage
liguster | privet
lik | drip
likdoorn | corn
likeur | liqueur
likken | lick
limitatief | restrictive
limoen | lime
limonade | lemonade
linde‐ | lime
linde | lime‐tree
lindeboom | lime‐tree
linden‐ | lime
linguïst | linguist
linguïstisch | linguistic
liniaal | ruler
linie | line
link | dangerous
linker‐ | left
linker | linker
linkerzĳde | left
linksaf | left
linksom | left
linnen | linen
linoleum | linoleum
lint | ribbon
linze | lentil
lip | lip
liquide | available
liquideren | liquidate
lire | lira
lis | iris
lisdodde | reedmace
lispelen | lisp
list | ruse
listig | clever
litanie | litany
liter | liter
literair | literary
literatuur | literature
lithium | lithium
litteken | scar
litterair | literary
litteratuur | literature
liturgie | liturgy
live | direct
locomotief | engine
lodderig | drowsy
loden | lead
loeder | rogue
loeien | howl
loensen | lookaskance
loep | magnifyingglass
loeren | peep
loffelĳk | commendable
loflied | paean
lofwaardig | commendable
lofzang | paean
lof toezwaaien | commend
log | awkward
logement | hostel
logementhouder | host
logen | wash
logeren | beaguestof
logica | logic
logies | abode
logisch | logical
logé | guest
lok | curl
lokaas | bait
lokaliteit | location
loket | window
lokken | attract
lokmiddel | bait
lommerd | pawnshop
lomp | coarse
lonen | compensate
long | lung
longan | longan
longkruid | lungwort
longontsteking | pneumonia
longtering | consumption
lonken | makeeyesat
lont | fuse
loochenen | deny
lood | lead
loodrecht | right‐angle
loods | barrack
loodsen | pilot
loof | foliage
